rs1_data[63:0],rs2_data[63:0]
0x00_00_00_00_00_00_00_00,0x00_00_00_00_00_00_00_00
0x00_00_00_00_00_00_00_00,0x00_00_00_00_00_00_00_00
0x00_00_00_00_00_00_00_00,0x00_00_00_00_00_00_00_00
0xbb_bb_bb_bb_bb_bb_bb_bb,0x00_00_00_00_00_00_00_00
0xcc_cc_cc_cc_cc_cc_cc_cc,0xbb_bb_bb_bb_bb_bb_bb_bb
0xdd_dd_dd_dd_dd_dd_dd_dd,0xcc_cc_cc_cc_cc_cc_cc_cc
0xee_ee_ee_ee_ee_ee_ee_ee,0xdd_dd_dd_dd_dd_dd_dd_dd
0xff_ff_ff_ff_ff_ff_ff_ff,0xee_ee_ee_ee_ee_ee_ee_ee
0x00_00_00_00_00_00_00_00,0xff_ff_ff_ff_ff_ff_ff_ff
0x11_11_11_11_11_11_11_11,0x00_00_00_00_00_00_00_00
0x22_22_22_22_22_22_22_22,0x11_11_11_11_11_11_11_11
0x33_33_33_33_33_33_33_33,0x22_22_22_22_22_22_22_22
0x44_44_44_44_44_44_44_44,0x33_33_33_33_33_33_33_33
0x55_55_55_55_55_55_55_55,0x44_44_44_44_44_44_44_44
0x66_66_66_66_66_66_66_66,0x55_55_55_55_55_55_55_55
0x77_77_77_77_77_77_77_77,0x66_66_66_66_66_66_66_66
0x88_88_88_88_88_88_88_88,0x77_77_77_77_77_77_77_77
0x99_99_99_99_99_99_99_99,0x88_88_88_88_88_88_88_88
0x00_00_00_00_00_00_00_00,0x99_99_99_99_99_99_99_99
0xbb_bb_bb_bb_bb_bb_bb_bb,0x00_00_00_00_00_00_00_00
0xcc_cc_cc_cc_cc_cc_cc_cc,0xbb_bb_bb_bb_bb_bb_bb_bb
0xdd_dd_dd_dd_dd_dd_dd_dd,0xcc_cc_cc_cc_cc_cc_cc_cc
0xee_ee_ee_ee_ee_ee_ee_ee,0xdd_dd_dd_dd_dd_dd_dd_dd
0xff_ff_ff_ff_ff_ff_ff_ff,0xee_ee_ee_ee_ee_ee_ee_ee
0x00_00_00_00_00_00_00_00,0xff_ff_ff_ff_ff_ff_ff_ff
0x11_11_11_11_11_11_11_11,0x00_00_00_00_00_00_00_00
0x22_22_22_22_22_22_22_22,0x11_11_11_11_11_11_11_11
0x33_33_33_33_33_33_33_33,0x22_22_22_22_22_22_22_22
0x44_44_44_44_44_44_44_44,0x33_33_33_33_33_33_33_33
0x55_55_55_55_55_55_55_55,0x44_44_44_44_44_44_44_44
0x66_66_66_66_66_66_66_66,0x55_55_55_55_55_55_55_55
0x77_77_77_77_77_77_77_77,0x66_66_66_66_66_66_66_66
0x88_88_88_88_88_88_88_88,0x77_77_77_77_77_77_77_77
0x99_99_99_99_99_99_99_99,0x88_88_88_88_88_88_88_88
0x00_00_00_00_00_00_00_00,0x99_99_99_99_99_99_99_99
0xbb_bb_bb_bb_bb_bb_bb_bb,0xbb_bb_bb_bb_bb_bb_bb_bb
0xbb_bb_bb_bb_bb_bb_bb_bb,0xbb_bb_bb_bb_bb_bb_bb_bb
0xfe_dc_ba_98_76_54_32_10,0xfe_dc_ba_98_76_54_32_10
0x01_23_45_67_89_ab_cd_ef,0x01_23_45_67_89_ab_cd_ef
